ORDERNUMBER,ORDERDATE,COUNTRY,PRODUCTLINE,SALES,QUANTITYORDERED,PRICEEACH,DEALSIZE,STATUS,YEAR_ID,MONTH_ID
10100,2003-01-06,USA,Classic Cars,4500.00,30,150.00,Small,Shipped,2003,1
10101,2003-01-09,France,Motorcycles,3200.00,20,160.00,Small,Shipped,2003,1
10102,2003-02-18,USA,Planes,5600.00,28,200.00,Medium,Shipped,2003,2
10103,2003-02-28,Brazil,Ships,2900.00,18,161.11,Small,Resolved,2003,2
10104,2003-03-15,Germany,Classic Cars,6100.00,35,174.29,Medium,Shipped,2003,3
10105,2003-03-30,France,Trains,2700.00,15,180.00,Small,Shipped,2003,3
10106,2003-04-12,USA,Motorcycles,4100.00,25,164.00,Small,Shipped,2003,4
10107,2003-05-22,Brazil,Classic Cars,5300.00,31,170.97,Medium,Resolved,2003,5
10108,2003-06-17,Germany,Planes,6800.00,34,200.00,Large,Shipped,2003,6
10109,2003-07-05,USA,Ships,3500.00,21,166.67,Small,Shipped,2003,7
10110,2003-08-11,France,Classic Cars,4900.00,28,175.00,Medium,Cancelled,2003,8
10111,2003-09-01,Brazil,Motorcycles,3800.00,22,172.73,Small,Shipped,2003,9
10112,2003-10-19,Germany,Trains,3000.00,16,187.50,Small,Shipped,2003,10
10113,2004-01-14,USA,Classic Cars,7200.00,40,180.00,Large,Shipped,2004,1
10114,2004-02-08,France,Planes,6400.00,32,200.00,Large,Shipped,2004,2
10115,2004-03-03,Brazil,Ships,3300.00,20,165.00,Small,Resolved,2004,3
10116,2004-04-18,Germany,Motorcycles,4500.00,27,166.67,Medium,Shipped,2004,4
10117,2004-05-27,USA,Trains,3100.00,17,182.35,Small,Shipped,2004,5
10118,2004-06-14,France,Classic Cars,6700.00,38,176.32,Large,Shipped,2004,6
